"lon","lat","cond","cond2","mmi"
-81.3732553831,36.549571048,"Good",3,49.3
-78.1534421136,35.6772781999,"Poor",1,7.85
-80.6044344392,35.1530350117,"Poor",1,1.97
-78.823375839,34.5349674932,"Poor",1,19.53
-82.079599339,35.8788048464,"Good",3,54.5
-80.3428983369,35.9752436521,"Poor",1,9.83
-82.6597333474,35.8376048632,"Fair",2,36.05
-80.8267700596,35.5210167321,"Poor",1,7.85
-78.8451334468,35.9453853016,"Poor",1,13.53
-78.1435452505,36.2236428655,"Fair",2,44.9
-79.5908672241,35.9516063201,"Poor",1,10.28
-79.4881181866,35.9960242778,"Poor",1,25.17
-77.1827820496,35.5959533909,"Poor",1,40.27
-100.872798915,46.3895869633,"Fair",2,55.63
-103.563848254,46.5462711058,"Poor",1,34.2
-100.920937744,48.0633785563,"Poor",1,24.75
-96.8766190531,47.4597448279,"Good",3,46.52
-101.733272997,46.5891563175,"Good",3,79.02
-103.547265709,46.9091838923,"Fair",2,43.42
-98.0748477103,48.921086356,"Fair",2,36.73
-102.192903194,47.3045788544,"Poor",1,31.88
-97.563150706,48.1866206415,"Good",3,48.02
-101.617080815,46.030884968,"Poor",1,29.03
-102.240531922,46.4780038836,"Poor",1,33.57
-102.888849087,46.9902018772,"Fair",2,50.97
-98.0427612885,48.7621745618,"Good",3,42.37
-101.808396545,47.255847423,"Good",3,68.32
-102.705253323,47.3790631684,"Poor",1,24.57
-97.3850634761,46.1162931146,"Fair",2,31.68
-102.234188538,47.1295790306,"Poor",1,29.77
-102.042080645,47.1603376628,"Fair",2,45.02
-97.6998560261,48.175760222,"Good",3,71.23
-101.502546328,46.2214899651,"Fair",2,51.3
-103.512370169,46.4179424037,"Poor",1,39.82
-97.3388571286,47.5022327473,"Poor",1,24.78
-101.106840897,46.7997200285,"Good",3,57.85
-103.825286758,47.9787139854,"Poor",1,36.47
-97.1933385796,46.7620789315,"Poor",1,24.75
-100.441781902,46.5346401707,"Poor",1,34.87
-101.104703833,47.0464589283,"Fair",2,43.67
-103.12024392,45.9582850906,"Poor",1,39.12
-97.439630337,48.4388713541,"Fair",2,38.07
-102.075098492,46.0545469103,"Poor",1,41.2
-101.400522105,47.3481367933,"Fair",2,46.62
-97.1740344172,48.1197112594,"Poor",1,4.17
-101.170633912,46.7758207457,"Good",3,75
-103.611645809,47.3825418731,"Poor",1,26.68
-103.921973185,46.008942852,"Good",3,71.4
-98.1675759217,45.9788906804,"Poor",1,16.53
-100.74279143,46.7467623914,"Poor",1,19.2
-102.349091956,46.7541365556,"Fair",2,51.23
-101.177930211,47.2802929656,"Poor",1,38.88
-101.813307103,46.323994258,"Fair",2,54.93
-103.037881589,47.6688575293,"Poor",1,34.67
-101.618357015,47.284320048,"Good",3,64.98
-96.8441300765,47.2502139448,"Poor",1,12.1
-101.483837414,46.7413643433,"Poor",1,33.55
-103.540652265,46.925843364,"Fair",2,53.27
-103.801551883,46.5290272151,"Fair",2,47.08
-101.027965476,46.2768683169,"Good",3,58.92
-103.96608032,47.8413849457,"Good",3,61.17
-96.9531602347,46.7078027307,"Fair",2,32.37
-102.645754061,47.1678871153,"Fair",2,44.6
-102.777796886,48.3671878618,"Poor",1,27.12
-97.0365986969,47.3247128331,"Fair",2,35.07
-101.661395811,46.5696983434,"Good",3,60.77
-103.188336158,45.9672142787,"Poor",1,42.18
-96.7871555032,46.8304164472,"Poor",1,0.95
-101.801670165,47.0966896792,"Poor",1,24.02
-102.131612983,47.2772080319,"Good",3,57.83
-101.690187263,47.2130669439,"Poor",1,23.98
-103.287827419,46.0140707778,"Poor",1,3.4
-102.168136383,46.4305192976,"Poor",1,27.03
-100.915210018,47.3147840737,"Fair",2,50.55
-103.716378769,42.6221105441,"Good",3,37.53
-99.1641736065,40.5967962472,"Poor",1,14.25
-96.5925695666,41.1873289591,"Poor",1,22.08
-97.7553919302,40.7159493901,"Poor",1,16.67
-101.212253999,41.1442113009,"Good",3,47.6
-100.556809343,42.8027954382,"Fair",2,43.03
-102.998959243,42.4490651472,"Good",3,38.18
-99.7008263685,40.2454117134,"Good",3,79.22
-98.4377535206,40.7996552121,"Good",3,51.25
-96.5484547891,41.1520458511,"Fair",2,31.72
-103.611382108,41.2537320121,"Poor",1,16.45
-98.155006578,42.7117523132,"Good",3,66.75
-101.166484824,42.0973711115,"Fair",2,33.6
-98.1304379313,40.3574307462,"Fair",2,29.52
-99.4476653771,42.9480446761,"Fair",2,44.83
-98.0889675476,41.4156568263,"Poor",1,19.9
-103.699312545,42.4335864813,"Poor",1,9.6
-100.574560616,40.6249234136,"Fair",2,33.23
-97.158924156,40.6916616626,"Poor",1,16.67
-100.31048413,40.23519944,"Poor",1,12.58
-98.7323150543,40.7842923949,"Poor",1,15.03
-96.3498792165,41.5031947431,"Poor",1,17.47
-97.8722173924,42.5896446071,"Good",3,41.4
-96.1447224941,41.939328973,"Good",3,45.43
