DATE,UTC_TIME,MAG,LAT,LON,DEPTH
2019/07/06,03:23:19.87,4.52,35.861,-117.67783,6.8
2019/07/06,03:23:34.71,4.22,35.5685,-117.5165,10.8
2019/07/06,03:23:50.72,4.84,35.80317,-117.61783,11.4
2019/07/06,03:24:07.55,3.91,35.88767,-117.72017,8
2019/07/06,03:24:22.37,4.19,35.90183,-117.72733,5.3
2019/07/06,03:24:33.52,4.07,35.89117,-117.6755,7.4
2019/07/06,03:25:19.72,3.91,35.903,-117.69117,7
2019/07/06,03:25:27.97,4.61,35.86067,-117.67083,10.3
2019/07/06,03:26:04.01,4.02,35.83317,-117.64517,8.1
2019/07/06,03:26:40.49,3.57,35.89983,-117.6955,6.9
2019/07/06,03:26:51.99,4.09,35.8875,-117.6495,10.9
2019/07/06,03:27:07.01,4.5,35.91383,-117.72583,8
2019/07/06,03:27:11.37,4.57,35.53033,-117.43133,3.8
2019/07/06,03:27:36.26,3.97,35.89267,-117.69967,8.6
2019/07/06,03:28:00.73,4.09,35.91067,-117.73167,8.2
2019/07/06,03:28:12.34,4.09,35.84117,-117.65983,11.4
2019/07/06,03:28:25.16,3.98,35.8695,-117.69067,2.7
2019/07/06,03:28:46.55,4.19,35.9025,-117.72217,4.8
2019/07/06,03:29:10.29,4.02,35.65667,-117.4465,2.2
2019/07/06,03:29:15.86,4.01,35.86567,-117.65267,15.1
2019/07/06,03:29:28.84,4.07,35.7325,-117.50883,7
2019/07/06,03:29:32.08,4.51,35.90283,-117.7115,3.2
2019/07/06,03:29:47.26,3.6,35.9835,-117.7775,14.8
2019/07/06,03:30:25.05,4.49,35.55667,-117.35817,8.7
2019/07/06,03:30:59.67,3.9,35.90683,-117.704,8.8
2019/07/06,03:31:10.38,3.55,35.89367,-117.72167,9.4
2019/07/06,03:31:24.54,3.62,35.65967,-117.48533,5.2
2019/07/06,03:31:48.76,3.97,35.88833,-117.69783,8.9
2019/07/06,03:31:58.27,3.86,35.89017,-117.71217,6.3
2019/07/06,03:32:25.64,3.61,35.89817,-117.72633,10.8
2019/07/06,03:32:29.44,3.68,35.5985,-117.4145,6.7
2019/07/06,03:32:46.66,4.17,35.89033,-117.73033,6.2
2019/07/06,03:33:03.66,3.9,35.9025,-117.71633,8.5
2019/07/06,03:33:09.85,4.13,35.71483,-117.50517,1.7
2019/07/06,03:33:20.20,4.08,35.624,-117.48617,11
2019/07/06,03:33:39.10,3.8,35.89333,-117.72383,9.9
2019/07/06,03:33:39.45,4.01,35.726,-117.56133,11.1
2019/07/06,03:34:10.70,4.02,35.89767,-117.705,7.4
2019/07/06,03:34:21.53,3.63,35.76617,-117.5875,1.8
2019/07/06,03:34:42.84,3.74,35.90583,-117.65733,9.5
2019/07/06,03:34:55.98,3.52,35.58067,-117.39617,13.2
2019/07/06,03:35:05.42,4.09,35.65217,-117.46683,2
2019/07/06,03:35:30.66,3.67,35.979,-117.75767,6.5
2019/07/06,03:35:44.73,3.39,35.614,-117.44533,5.9
2019/07/06,03:36:16.46,4.35,35.90283,-117.73383,7.3
